stage,beta,H,omega_out,omega_in,s,gamma,N,n_steps,method,target_mode,n_seeds,med_l2_f,iqr_l2_f,med_l2_fp,iqr_l2_fp,med_int_l2_f,med_final_ess,med_repl_fraction,med_n_die,med_n_clone,med_cond_abserr_mean,gain_l2_f_vs_abf,winrate_vs_abf
stage0_reproduce,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,abf,none,5,0.2098197262630626,0.00324260056776296,1.8270178285319014,0.023511873841484787,10.666543308835625,256.0,0.046915039062500004,28237.0,19804.0,0.01707642409403331,0.0,nan
stage0_reproduce,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,fr_estimated,estimated,5,0.09535169939985151,0.0037239667074624033,1.0909627970849958,0.02223019573115681,6.288365213962784,24.0,0.017521484375,12069.0,5780.0,0.02336844638203843,0.5455541712016925,1.0
stage0_reproduce,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,fr_oracle,oracle,5,0.2687836878321821,0.008983661475166826,2.227522647221389,0.030286314281946947,11.837916076860845,25.0,0.0135185546875,4673.0,9225.0,0.011191141651565841,-0.2810220117015742,0.0
stage0_reproduce,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,fr_uniform,uniform,5,0.1037823071431004,0.0013903565356664233,1.1949119024314243,0.1048733287633179,6.4656023065875825,22.0,0.01715625,11794.0,5709.0,0.02061391684839086,0.5053739274591238,1.0
stage1_seeds,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,abf,none,20,0.20104615186159647,0.02093530387624265,1.7860513752415956,0.10001790913970465,10.224201850064983,256.0,0.04677783203125,28131.5,19790.5,0.015524984500804593,0.0,nan
stage1_seeds,8.0,2.5,1.0,25.0,0.25,15.0,256,40000,fr_estimated,estimated,20,0.09797851376462904,0.006256848265120324,1.151099405377682,0.10077720661202316,6.2353093138828815,18.5,0.0173203125,12001.5,5713.5,0.02066575185814166,0.5126566071651095,1.0
stage2_omega,8.0,2.5,1.0,1.0,0.25,15.0,256,100000,abf,none,10,0.21065566055455326,0.02167559591792423,1.8397237599592993,0.10350255699691413,11.049289087001842,256.0,0.018787890625,28417.5,19741.0,0.044165543889803496,0.0,nan
stage2_omega,8.0,2.5,1.0,1.0,0.25,15.0,256,100000,fr_estimated,estimated,10,0.10095189872497985,0.0079749474724818,1.1698271664229383,0.10687592575791904,6.2577804290797,40.0,0.006912109375,11968.5,5739.5,0.05081776696509323,0.5207729122529966,1.0
stage2_omega,8.0,2.5,1.0,5.0,0.25,15.0,256,100000,abf,none,10,0.20173620875145987,0.023303048568709323,1.815155323478308,0.11145114176014403,10.215544840911988,256.0,0.01849296875,27979.5,19362.5,0.024804514257408074,0.0,nan
stage2_omega,8.0,2.5,1.0,5.0,0.25,15.0,256,100000,fr_estimated,estimated,10,0.1033550621881176,0.00722176400860558,1.2077245322698602,0.08091374891724201,6.405203133044376,37.5,0.0068923828125,11962.5,5671.0,0.027904411383344832,0.48767222885876865,1.0
