run_id,stage,name,method,seed,n_steps,n_replicas,a,fr_rate,target_ema_rate,max_event_fraction,fr_every,fr_start_steps,score_clip,config_hash,core_version,had_nan,total_replacement_events,l2_f,l2_fp,integrated_l2_f,l2_f_compact,l2_f_transition,l2_f_stretched,l2_fp_compact,l2_fp_transition,l2_fp_stretched,final_ancestor_ess,final_n_unique_ancestor,runtime_seconds,wall_seconds
difficulty_budget__abf__seed0__N1024__T100000__a1.5__ce8fde25e4ad,difficulty_budget,abf,abf,0,100000,1024,1.5,0.0,0.005,0.02,5,20000,2.0,4c76ac7e12ed,wca_prod_v1,False,0,0.09222715030528857,0.34645905866505217,41.737296847329304,0.13338217349712164,0.04677189627148812,0.09106959001111142,0.3993903878047585,0.4114187585529603,0.0980283094295796,nan,1024,168.7161206509918,168.72682074503973
difficulty_budget__abf__seed0__N1024__T150000__a1.5__3d59423b8f10,difficulty_budget,abf,abf,0,150000,1024,1.5,0.0,0.005,0.02,5,20000,2.0,204967f3985a,wca_prod_v1,False,0,0.09173505343973576,0.35157733285224196,49.8841376275368,0.13295279274946972,0.043444244530797,0.09249556465697246,0.4205135036430807,0.40100754299373864,0.12422863945125318,nan,1024,240.57840641587973,240.59043087018654
difficulty_budget__abf__seed0__N1024__T250000__a1.5__726a47da3b4a,difficulty_budget,abf,abf,0,250000,1024,1.5,0.0,0.005,0.02,5,20000,2.0,64d9b8141af2,wca_prod_v1,False,0,0.07680300293762878,0.30842051225801836,62.05189604079839,0.1099739847752433,0.035112569990129086,0.08006967830547485,0.3379548756584839,0.3762070580268241,0.10212421160214684,nan,1024,420.06328741507605,420.0754371089861
difficulty_budget__abf__seed0__N1024__T400000__a1.5__afde3858305b,difficulty_budget,abf,abf,0,400000,1024,1.5,0.0,0.005,0.02,5,20000,2.0,6381607fb087,wca_prod_v1,False,0,0.08140389351923737,0.31598866943550924,94.26067545260372,0.11579925068867485,0.03841841837525156,0.08507653483713161,0.34844298383584477,0.3829659571568689,0.10975671654812309,nan,1024,651.9602188710123,651.9753276756965
difficulty_budget__abf__seed0__N1024__T50000__a1.5__bc2729435f8c,difficulty_budget,abf,abf,0,50000,1024,1.5,0.0,0.005,0.02,5,20000,2.0,d351f3af9b46,wca_prod_v1,False,0,0.10765882100906383,0.37245398981096905,26.131623585342183,0.1498896057209964,0.04277097786649669,0.1215378733145168,0.43056967071711716,0.41726230000276393,0.20296533664557148,nan,1024,98.29732256615534,98.3092948300764
difficulty_budget__abf__seed1__N1024__T100000__a1.5__b2b5cd533023,difficulty_budget,abf,abf,1,100000,1024,1.5,0.0,0.005,0.02,5,20000,2.0,56d6e1f25035,wca_prod_v1,False,0,0.09321534761133449,0.3487589033951989,36.45408406479494,0.1350931101409129,0.04251640375580831,0.09509611681627714,0.45121784721145375,0.37297445712262955,0.10674456114279486,nan,1024,148.96578339114785,148.97695709392428
difficulty_budget__abf__seed1__N1024__T150000__a1.5__73cc6e3fd68c,difficulty_budget,abf,abf,1,150000,1024,1.5,0.0,0.005,0.02,5,20000,2.0,4bab5f938794,wca_prod_v1,False,0,0.08355833263959667,0.3134358784779042,45.51989168967279,0.1178196342962971,0.03579837678821721,0.09095420068729694,0.35763095132931433,0.37045066079934,0.11386571135156284,nan,1024,220.71516755688936,220.72678778134286
difficulty_budget__abf__seed1__N1024__T250000__a1.5__19c4c60dc6d5,difficulty_budget,abf,abf,1,250000,1024,1.5,0.0,0.005,0.02,5,20000,2.0,244f39365a88,wca_prod_v1,False,0,0.08613639843606859,0.3243773085477166,66.23099666863293,0.12281336631497565,0.0398355952094241,0.09022028205750195,0.3673253246528837,0.38255980200749806,0.13331839639154466,nan,1024,421.2392531647347,421.2441533659585
difficulty_budget__abf__seed1__N1024__T400000__a1.5__e83f4d87588c,difficulty_budget,abf,abf,1,400000,1024,1.5,0.0,0.005,0.02,5,20000,2.0,ad96221fc1ca,wca_prod_v1,False,0,0.08209495723954209,0.3148122359870458,89.26067530234685,0.11742610813817128,0.03892868269716462,0.0848090937452293,0.35585330417445005,0.37812212976118953,0.09558125646046434,nan,1024,653.0707500181161,653.0774952513166
difficulty_budget__abf__seed1__N1024__T50000__a1.5__a49e3822025c,difficulty_budget,abf,abf,1,50000,1024,1.5,0.0,0.005,0.02,5,20000,2.0,ada6f10e01f3,wca_prod_v1,False,0,0.11603774309181808,0.4029125008344125,27.767191271475937,0.16770634119458666,0.05436410213656423,0.11806926006536261,0.48716629760817254,0.44186849117971094,0.18852115670096503,nan,1024,83.38458192907274,83.3870475301519
