stage,name,method,n_steps,n_replicas,a,t,l2_f_median,l2_f_q25,l2_f_q75,l2_fp_median,l2_fp_q25,l2_fp_q75,repl_cumulative_median,n_seeds
difficulty_budget,abf,abf,50000,1024,1.5,0.0,1.0128246046204876,1.01282457718194,1.0128246200469422,6.0293198910457875,6.029319797510947,6.029319892865136,0.0,5
difficulty_budget,abf,abf,50000,1024,1.5,5.0,0.9468845236561279,0.9347568908822873,0.9550539299546494,2.631024164233878,2.5921795373157677,2.642656308517065,0.0,5
difficulty_budget,abf,abf,50000,1024,1.5,10.0,0.5757645098091291,0.5710687043161874,0.5864744620776142,1.6679629179638247,1.664940944945297,1.689848471216432,0.0,5
difficulty_budget,abf,abf,50000,1024,1.5,15.0,0.3746774408774111,0.37024873023913446,0.3802095248453619,1.1647438244736792,1.1538293744219514,1.2199509155434138,0.0,5
difficulty_budget,abf,abf,50000,1024,1.5,20.0,0.973655893389262,0.6091367990300612,1.4359980716272178,7.552196027511186,6.332398896631017,8.92217352574195,0.0,5
difficulty_budget,abf,abf,50000,1024,1.5,25.0,0.15011097669813514,0.12265667733320894,0.17008783346453465,0.509059270380143,0.4714420925760742,0.5169648526114613,0.0,5
difficulty_budget,abf,abf,50000,1024,1.5,30.0,0.15755824660194578,0.12665431816124403,0.16957920055790285,0.5555287943913404,0.460403303206146,0.5606086211606855,0.0,5
difficulty_budget,abf,abf,50000,1024,1.5,35.0,0.14454503021387874,0.14280515845997552,0.14675133258223585,0.48715891004779854,0.481934511328987,0.5133409725743711,0.0,5
difficulty_budget,abf,abf,50000,1024,1.5,40.0,0.1348809401579046,0.129371593313247,0.14741868386311158,0.46747437421413296,0.4390111784686358,0.4957524151864922,0.0,5
difficulty_budget,abf,abf,50000,1024,1.5,45.0,0.13316569123897123,0.12104672333171763,0.1370036720403304,0.4531392045295371,0.43245573985352304,0.48222239472925105,0.0,5
difficulty_budget,abf,abf,50000,1024,1.5,50.0,0.1268469803593238,0.11800319383845993,0.13093409263836875,0.4332713428655633,0.4166242630394413,0.4432649549475313,0.0,5
difficulty_budget,abf,abf,50000,1024,1.5,55.0,0.12026721332052608,0.11158532130517838,0.13273675228375142,0.41520655717427074,0.411721163311062,0.42274091944827075,0.0,5
difficulty_budget,abf,abf,50000,1024,1.5,60.0,0.12111189550707277,0.10690402946357004,0.1252270317640298,0.399126851250232,0.395238769381936,0.4216295518942965,0.0,5
difficulty_budget,abf,abf,50000,1024,1.5,65.0,0.12144019981135284,0.1030077618803865,0.12418110831677016,0.39044793116586873,0.38939452771750727,0.4320138256181014,0.0,5
difficulty_budget,abf,abf,50000,1024,1.5,70.0,0.11973894283262373,0.10155262696124005,0.12274544403247854,0.38759436240029876,0.3741217079292301,0.4241343526261172,0.0,5
difficulty_budget,abf,abf,50000,1024,1.5,75.0,0.11707666316163416,0.09617777347011672,0.12230250267461719,0.3862527325574707,0.3579239513125559,0.41354118378768756,0.0,5
difficulty_budget,abf,abf,50000,1024,1.5,80.0,0.11749311047316081,0.10108072124444988,0.12046616588057941,0.3891846312440879,0.3625563987657565,0.4082509297309608,0.0,5
difficulty_budget,abf,abf,50000,1024,1.5,85.0,0.1157957041311785,0.10584361097703866,0.11916642096240526,0.3896078881353455,0.37920633792390646,0.4056785438866896,0.0,5
difficulty_budget,abf,abf,50000,1024,1.5,90.0,0.11275797754307854,0.10207985105331022,0.11686593958554478,0.3817343423875111,0.3666079723002909,0.40241833473685884,0.0,5
difficulty_budget,abf,abf,50000,1024,1.5,95.0,0.10952483991307534,0.10093680642497468,0.11472316774291198,0.3768780515094241,0.3659888554306036,0.4006497337811407,0.0,5
difficulty_budget,abf,abf,50000,1024,1.5,100.0,0.10765882100906383,0.09888659578631252,0.11591684987739856,0.37245398981096905,0.36650249985063194,0.4029125008344125,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,0.0,1.0128246046204876,1.01282457718194,1.0128246200469422,6.0293198910457875,6.029319797510947,6.029319892865136,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,5.0,0.9315374878153192,0.9253010811183706,0.936385478810298,2.5657980945003964,2.53351053515323,2.5808165845342845,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,10.0,0.575209625788434,0.5663708122502622,0.6101836296599896,1.6655708827484879,1.6443136342744529,1.7306985168181477,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,15.0,0.3937479698850857,0.38330211899195626,0.40378811721724334,1.24559828577904,1.2123371696523182,1.2506056753102905,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,20.0,1.2012241346366241,0.9240131726601559,1.4740622829287402,7.837167800218576,6.265081150591697,8.716626240157098,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,25.0,0.1682157849006489,0.11201642226813002,0.18832535862622943,0.5860010709869796,0.442087067816933,0.6399812370989798,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,30.0,0.17697432445941938,0.1361675648810497,0.18524084497661875,0.5667517976488542,0.4936918749498964,0.6721834479409466,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,35.0,0.17348367844390022,0.16535729723722564,0.17451479823442642,0.5528267231351442,0.552557480037964,0.6046343069001165,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,40.0,0.16494806541896914,0.16197730892346238,0.17283981283562963,0.5654395637858275,0.551494623780161,0.5745401732002487,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,45.0,0.16254232862565846,0.157380855386214,0.1642794557388564,0.5466238779850442,0.509632988942364,0.5517103948321335,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,50.0,0.1553900103253778,0.14689950391905732,0.16414169070518606,0.5349681051288128,0.4974783805897774,0.5527235770024129,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,55.0,0.14546468206369229,0.1411651055367915,0.16054004492990767,0.5037713129847694,0.4854395902495005,0.542646642386365,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,60.0,0.13620803429761483,0.13330455667904823,0.1521434365669665,0.46911964932424643,0.46752470908425736,0.5220669737645101,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,65.0,0.13587867039844337,0.12451110070263224,0.1435618413956617,0.4715779167767076,0.4372753417802706,0.49065277018797543,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,70.0,0.138420296292644,0.12536665454480447,0.13894858586877387,0.484152345860163,0.44836802930162595,0.4863836348321795,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,75.0,0.13144149316455853,0.12240065695232005,0.13415478680630621,0.4635488466650553,0.44057917798444796,0.4692156030233243,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,80.0,0.12323773835949639,0.12066509488431787,0.12552656952288108,0.4470278167756699,0.4297737701947147,0.45022567698794413,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,85.0,0.11780318931345334,0.11779332909750087,0.12158687870392611,0.42956110899987415,0.41944255301729877,0.44108862342280647,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,90.0,0.11675234447058687,0.11466693534675931,0.11758279468005897,0.4294704902279787,0.4175043012964962,0.4312777357638113,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,95.0,0.1161219395972389,0.11200758232965555,0.11643705007964546,0.41840087975216594,0.4095045224422568,0.4319051067222221,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,100.0,0.11287404639239741,0.11049219490975055,0.11475267634630362,0.4076096167791281,0.4045470142551659,0.41762659759751175,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,105.0,0.11068039234672843,0.11028554461515658,0.11070715776942834,0.4051594637188754,0.3903958530696543,0.4168195206929953,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,110.0,0.1086729811425796,0.10793493462052532,0.10894983556286415,0.39838445810502643,0.38326536420646856,0.4095167360080583,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,115.0,0.10695581596307988,0.10680283242192104,0.10937434740710464,0.38918992959653154,0.3821171365685056,0.40309265389524296,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,120.0,0.10753431854284762,0.10346600779508328,0.10837812688868975,0.384818997496633,0.38030851177211067,0.39601413586917583,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,125.0,0.10657710473215325,0.10081082127365601,0.10874166104763165,0.3861851788404907,0.3714620182889759,0.39260900545651234,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,130.0,0.10510512298743847,0.09757451448875787,0.10979939830054285,0.3896893669521501,0.36627128650939494,0.3903662402460928,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,135.0,0.10271994639955563,0.09591287437271974,0.10578040016956684,0.38301733408294447,0.36618240347924363,0.3839125695189285,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,140.0,0.10057351516088718,0.09586980469809628,0.10376215572387458,0.37854799276772677,0.364354310119052,0.3826776802534261,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,145.0,0.09789930576536603,0.0938106563334696,0.10106211501232418,0.37036742078206325,0.35824237237378476,0.3786602604637156,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,150.0,0.09710702386910613,0.09278800963812751,0.10065537679979134,0.36978873793843264,0.35067338956658034,0.3750059515868908,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,155.0,0.09701359346389236,0.09245940857131896,0.09825218936120969,0.3673974024131601,0.3448860663093959,0.36889232056133,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,160.0,0.09585217817903373,0.09298231633312447,0.09798024914542582,0.36584104500456244,0.3433479365543481,0.3665278286428986,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,165.0,0.0958768475340688,0.0931475117550788,0.09655645632174122,0.3598595325761064,0.34364014730745596,0.36682971803655867,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,170.0,0.09448375854688806,0.09327345263351249,0.09508902652089404,0.3529156392409399,0.3413645398081387,0.36341470734078063,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,175.0,0.09546658135112915,0.09502395616505699,0.09572264875429848,0.3548627861309213,0.34872906150933264,0.3611861553093093,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,180.0,0.09458528594230212,0.09350950245275005,0.09604849300174895,0.35170060319334895,0.3508845245695459,0.3569914121235247,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,185.0,0.09414038869989941,0.09351178028477568,0.09615198678610958,0.35076610032841965,0.3503697104618622,0.35851453795201466,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,190.0,0.09332376730669255,0.0911840966026666,0.09443917192452672,0.34929656027185596,0.3423447777908444,0.3536252768528829,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,195.0,0.09240877905012325,0.0905887375083034,0.09280105807335956,0.34689546852400344,0.33769679989057455,0.34962118509694456,0.0,5
difficulty_budget,abf,abf,100000,1024,1.5,200.0,0.09147850092677252,0.09107078261791532,0.09222715030528857,0.34645905866505217,0.3390192278546095,0.3487589033951989,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,0.0,1.0128246046204876,1.01282457718194,1.0128246200469422,6.0293198910457875,6.029319797510947,6.029319892865136,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,5.0,0.9687880500161744,0.9684495187554715,0.9734346298509587,2.667732127865086,2.656482748220493,2.6747517194674963,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,10.0,0.5882714598235003,0.5830577616622923,0.6004253345846138,1.7085112753506804,1.707867404779909,1.73462411273834,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,15.0,0.3875385840718637,0.37490370172033927,0.39159785642053163,1.1865512643804588,1.1850611684184933,1.1887974508312409,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,20.0,1.0817922450552309,0.7057375188903904,1.362687352594345,7.4453019890479535,7.2851048320575424,8.109368501250257,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,25.0,0.14523068848863885,0.13440029410758386,0.16081031333017148,0.583627211163509,0.5782812547229983,0.5922632710855964,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,30.0,0.15459059119256485,0.14790929940835748,0.1843063401185742,0.5276814008703258,0.5058719087496438,0.6175135411703497,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,35.0,0.1468883313052877,0.13462040167582023,0.17355608384237026,0.5052415405432668,0.4913601711577828,0.5767556722001651,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,40.0,0.14656915751085,0.13185958872609135,0.1547815027289022,0.5180562130237482,0.48835913558438876,0.5347525759557255,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,45.0,0.14209410552051696,0.1282362066996888,0.14506272618006813,0.4969235261510692,0.47479804484311827,0.5005603476335989,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,50.0,0.13241070466784394,0.1211513280422779,0.13392120208102687,0.46364306993820525,0.4451070861767024,0.4739266544381622,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,55.0,0.1333263310004228,0.11523928243087149,0.1363312488179849,0.462466893707159,0.4411016820618089,0.46522286033135596,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,60.0,0.12667088905214782,0.11591912324638999,0.1271325036842188,0.4421785308506612,0.4371578369782043,0.4435974463466907,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,65.0,0.12040972816658163,0.11098958095077134,0.12144876017143919,0.41924272968069837,0.40241027012001,0.41926065828336956,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,70.0,0.1147558742576711,0.11065444035349813,0.12681583277987477,0.41081183099609125,0.4017414645699622,0.43207973070013767,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,75.0,0.10777979156247419,0.10729509064388737,0.1261618567448667,0.4084428207195864,0.3834709757831169,0.4259016739240934,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,80.0,0.106231065272012,0.10163943402876376,0.11794553200281942,0.39688685785610306,0.3709151368283048,0.4067669988296872,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,85.0,0.10270637815435667,0.0983666694961466,0.11455193654571134,0.38704290045097617,0.37391912708864566,0.3989139289088362,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,90.0,0.10056916520253001,0.09836689400685848,0.11132596794002289,0.3859514544667943,0.3754563031200298,0.3926318724600288,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,95.0,0.10063983209666524,0.09932425754407051,0.11047536065631143,0.3842001631843881,0.37925376990064785,0.39246433504593287,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,100.0,0.10367587278036394,0.10006428654723283,0.10851607163354154,0.3831296312803882,0.3749293449999997,0.3925280720821286,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,105.0,0.10356756877315278,0.09782445412900721,0.10590609069445038,0.37578598126519397,0.36848773235223836,0.3869552254619148,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,110.0,0.1004665545742055,0.09716403120609889,0.10604508323059954,0.3798066808449837,0.3671407648571282,0.3821474714820035,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,115.0,0.10180694327659986,0.09895477177521686,0.10515998390762217,0.37858815500444026,0.3763888290788341,0.3813933193437879,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,120.0,0.10005289631701458,0.09715741756648495,0.10549240017781833,0.3756407833759688,0.3741344312417538,0.37920184417037667,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,125.0,0.10056436899268463,0.09709705497120537,0.1070478613635354,0.3735094346901312,0.36983455324153014,0.38038206619708664,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,130.0,0.09974678877333175,0.09626696643846412,0.10505899814789682,0.36984548979885984,0.35957317256230453,0.37720772158478927,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,135.0,0.0986979112514757,0.0951191510846812,0.10381099510055833,0.364675350750162,0.35552121172636125,0.3774713732172891,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,140.0,0.09840884330357497,0.09253410329750886,0.10124830599613048,0.361867273744863,0.35164637578255326,0.36912885237820514,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,145.0,0.0974257545596702,0.09091881173073822,0.10228958937661464,0.3553899230456879,0.34818423347249394,0.3689085792393535,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,150.0,0.09662856383756929,0.09014609259702426,0.10279698882705625,0.3559726589490858,0.3464814813451047,0.3690943587514647,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,155.0,0.09604477093353768,0.09081716252434434,0.10249098962947414,0.35397971478277956,0.3462369267729682,0.3663347186122681,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,160.0,0.09576003989099414,0.0913380476384652,0.10134480043159143,0.3528883147497673,0.34862085199123943,0.36679353807874227,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,165.0,0.09433149977482438,0.09131213180037495,0.10012134066044057,0.34906869101359245,0.3469504188570644,0.36378926854438987,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,170.0,0.09311312036690002,0.09304011060673602,0.09944505385454896,0.35116019551058425,0.34489216728586175,0.36244408995038563,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,175.0,0.09380208999929761,0.0929186234826113,0.10084689940947046,0.35177074755587223,0.34371828020641043,0.36651458161760375,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,180.0,0.0946400465339854,0.09283096811236305,0.10159502899752192,0.3532749549597112,0.34455119675396145,0.366653984419296,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,185.0,0.09474642649182122,0.09135902458447576,0.10077712003968818,0.3501834241671305,0.3391325460887511,0.3641483017204604,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,190.0,0.09512924473454645,0.09015616522862517,0.09984397025084733,0.3515178006478195,0.3372066233376895,0.3603320940939437,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,195.0,0.0938964986109142,0.0903279371079181,0.09829015455878064,0.3451722511862671,0.3392646348942812,0.3547719406271154,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,200.0,0.09239258891706374,0.09001440933053878,0.09647567062345568,0.34156845965089655,0.33981870406137993,0.349474561175675,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,205.0,0.09193687630586381,0.09147472564136183,0.09515086883465156,0.3443094258528736,0.3395420413553507,0.34481048933387476,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,210.0,0.0918429305721469,0.09044336606507275,0.09315335906560739,0.340660824123599,0.33928059467993166,0.3407103020150107,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,215.0,0.09210346896524532,0.08875461125498521,0.0922995290605989,0.3390691776374418,0.3345904829004157,0.3405254352723727,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,220.0,0.0904777892362071,0.0878128842410212,0.09103880512296132,0.3332485119574683,0.3326439499326934,0.3374397491591946,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,225.0,0.09038035971513723,0.08703919890608666,0.09085095372010368,0.33223043508306455,0.33106934651273107,0.33954902138110094,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,230.0,0.0882369407907396,0.08644185091154959,0.09061575764727502,0.33127295267206736,0.33013618460303057,0.3354600197043362,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,235.0,0.08779908146798061,0.08657331364863241,0.09033566434145036,0.3318761747223342,0.3293599706695462,0.3358452645440756,0.0,5
difficulty_budget,abf,abf,150000,1024,1.5,240.0,0.08823563341213787,0.0867290218086595,0.08983669122298948,0.3297021526928276,0.32935336123449327,0.33735765512595767,0.0,5
